2.901315,J,NORMAL
3.605329,K,NORMAL
4.287982,D,NORMAL
5.034648,J,NORMAL
5.866644,F,NORMAL
6.655986,K,NORMAL
7.423991,K,NORMAL
8.106644,F,NORMAL
8.874648,F,NORMAL
9.599977,J,NORMAL
10.36798,J,NORMAL
11.09331,D,NORMAL
11.712,D,NORMAL
12.58664,F,NORMAL
13.35465,J,NORMAL
14.03732,D,NORMAL
14.48533,K,NORMAL
14.84798,F,NORMAL
15.61599,J,NORMAL
16.36265,D,NORMAL
17.06664,K,NORMAL
17.85599,K,NORMAL
18.55998,F,NORMAL
19.32798,F,NORMAL
20.11732,J,NORMAL
20.86399,J,NORMAL
21.56798,D,NORMAL
22.33599,D,NORMAL
23.10399,D,NORMAL
23.82932,F,NORMAL
24.59732,F,NORMAL
25.36533,J,NORMAL
26.112,J,NORMAL
26.81599,J,NORMAL
27.56265,K,NORMAL
28.30932,K,NORMAL
29.07732,K,NORMAL
29.84533,F,NORMAL
30.03732,F,NORMAL
30.57066,F,NORMAL
30.74132,F,NORMAL
31.38132,J,NORMAL
32.08533,D,NORMAL
32.85331,D,NORMAL
33.64265,J,NORMAL
34.30399,F,NORMAL
35.09331,K,NORMAL
35.81866,D,NORMAL
36.60798,K,NORMAL
37.71732,F,NORMAL
38.12265,J,NORMAL
38.82664,D,NORMAL
39.55199,D,NORMAL
40.19199,K,NORMAL
40.31998,K,NORMAL
41.08798,K,NORMAL
41.64265,D,NORMAL
41.83465,D,NORMAL
42.58131,J,NORMAL
43.17866,F,NORMAL
43.34932,F,NORMAL
44.05331,F,NORMAL
44.79998,J,NORMAL
44.97066,J,NORMAL
45.52533,D,NORMAL
46.33599,K,NORMAL
47.01866,F,NORMAL
47.78664,J,NORMAL
48.512,D,NORMAL
49.23732,K,NORMAL
49.94131,F,NORMAL
50.47465,J,NORMAL
50.87998,D,NORMAL
51.24265,K,NORMAL
51.62664,F,NORMAL
52.33066,F,NORMAL
52.992,J,NORMAL
53.82399,J,NORMAL
54.592,D,NORMAL
55.35998,D,NORMAL
55.95732,K,NORMAL
56.70399,K,NORMAL
57.62132,F,NORMAL
58.36798,K,NORMAL
59.11465,J,NORMAL
59.75465,D,NORMAL
60.60798,K,NORMAL
61.35465,F,NORMAL
62.07998,J,NORMAL
62.74131,D,NORMAL
63.57331,K,NORMAL
64.34132,F,NORMAL
65.06664,K,NORMAL
65.83465,D,NORMAL
66.60265,J,NORMAL
67.32798,D,NORMAL
68.032,K,NORMAL
68.71465,F,NORMAL
69.52533,D,NORMAL
70.29331,K,NORMAL
71.06132,F,NORMAL
71.76533,J,NORMAL
72.57599,D,NORMAL
73.36533,K,NORMAL
73.96265,D,NORMAL
74.81599,J,NORMAL
75.56265,D,NORMAL
75.90399,F,NORMAL
76.30932,J,NORMAL
76.73598,K,NORMAL
77.11998,J,NORMAL
77.48265,F,NORMAL
77.84533,D,NORMAL
78.65598,K,NORMAL
79.06132,J,NORMAL
79.38132,F,NORMAL
79.74399,D,NORMAL
80.08533,F,NORMAL
80.85331,J,NORMAL
