1.950476,D
2.345215,F
2.763175,J
3.413333,K
3.924172,J
4.318912,F
4.690431,D
5.06195,F
5.433469,J
5.828208,K
6.385488,D
6.873106,F
7.291066,J
7.732245,K
8.126985,D
8.428843,F
8.823583,J
9.496962,D
9.729161,F
10.14712,J
10.68118,K
11.07592,J
11.42422,F
11.79574,D
12.14404,F
12.39946,J
12.74776,K
12.86385,D
13.09605,J
13.28181,F
14.07129,K
14.58213,J
14.74467,F
15.34839,D
15.55737,F
15.92889,J
16.30041,K
16.64871,J
17.04345,F
17.41497,D
17.78649,F
18.18122,J
18.55274,K
20.0156,D
20.2478,F
20.38712,J
20.5961,K
20.78186,D
21.31592,F
21.54812,J
21.96608,K
22.31438,D
22.6859,F
23.05742,K
23.38249,F
23.75401,J
24.14875,F
24.54349,K
24.84535,D
25.28653,J
25.65805,F
26.07601,K
26.47075,J
26.79583,F
27.16735,K
27.58531,J
27.93361,F
28.25868,D
28.65342,F
29.07138,J
29.41968,D
29.7912,F
30.18594,J
30.53424,D
31.27728,D
31.48626,F
31.67202,J
32.08998,K
32.27574,J
32.48472,F
32.71692,D
32.9259,K
33.39029,F
33.64571,D
33.94757,F
34.31909,J
34.66739,K
35.03891,J
35.38721,F
35.78195,D
36.54821,K
36.89651,J
37.26803,F
38.03429,D
38.80054,F
39.59002,K
39.9151,D
40.28662,J
40.63492,F
41.09932,K
41.4244,D
41.84236,K
42.02812,D
42.3532,K
42.88726,D
43.30521,J
43.46775,F
43.67673,K
43.8625,D
44.30367,F
44.79129,J
45.18603,K
45.55755,J
45.92907,K
46.25415,D
46.64889,F
47.02041,D
47.39193,F
47.78667,J
48.1814,K
48.48326,D
48.85479,F
48.94767,J
49.27274,D
49.27274,K
50.039,F
50.039,J
50.41052,D
50.43374,K
50.80526,J
50.80526,F
51.36254,K
51.68762,J
51.8966,F
52.10558,D
52.68608,K
52.89506,F
53.24335,D
53.49878,F
53.82386,J
54.19537,K
54.35791,D
54.72943,F
55.12417,J
55.42603,D
55.63501,K
56.09941,F
56.42449,J
56.81923,K
57.12109,D
57.46939,F
57.67837,J
58.21243,K
58.70005,J
58.86258,D
59.09478,F
59.41986,K
59.79138,J
59.9307,D
60.32544,F
60.69696,K
60.83628,D
61.0917,K
61.25424,F
62.04372,J
62.39202,K
62.80998,J
63.39048,D
63.71556,F
63.87809,J
64.04063,D
64.6908,K
64.89977,F
65.10875,J
65.38739,D
65.80535,F
65.99111,K
66.36263,D
66.71093,F
67.15211,K
67.52363,J
67.98803,D
68.35954,F
68.80073,J
69.17224,K
69.54376,D
69.75275,F
70.14748,J
70.70477,K
70.82086,D
71.0995,F
71.42458,J
71.7961,K
71.98186,D
72.35338,F
72.65524,K
72.93388,J
73.0732,F
73.25896,D
73.70013,J
74.18775,F
74.44318,D
74.79147,F
75.13977,J
75.55773,K
75.74349,D
76.16145,F
76.67229,D
76.88127,F
77.09025,J
77.46177,K
77.83329,K
78.04227,J
78.41379,F
78.73887,D
78.99429,F
79.11038,J
79.34258,K
